file_name,predicted_label
output_1.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự không khớp giữa nội dung lời nói và ngữ cảnh. Khi một người đang nói về việc xem hài đọc thoại trên YouTube, một người khác đột ngột nhắc đến vấn đề trĩ nội trĩ ngoại, một chủ đề không liên quan và không phù hợp với ngữ cảnh. Điều này tạo ra một cảm giác hài hước vì sự ngẫu nhiên và không khớp giữa các lời nói."
output_2.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa những gì người nói muốn nói và những gì người nghe hiểu. Người nói đang nói về sự tự do và quyền riêng tư, nhưng người nghe hiểu là đang được khuyến khích để làm những gì mình muốn, bao gồm cả việc mặc váy dài trên đường phố. Sự khác biệt này tạo ra một cảm giác hài hước khi người nghe phản ứng với sự ngạc nhiên và hào hứng."
output_3.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa sự mong đợi ban đầu và kết quả thực tế. Khi người nói kể về việc mình đi cà phê với bà chị tâm linh, người nghe có thể mong đợi một câu chuyện về sự thiếu thấu cảm của bà chị. Tuy nhiên, khi bà chị chỉ đơn giản là nhận xét về sự đông người trong quán cà phê, người nghe có thể cảm thấy thất vọng và hài hước. Tuy nhiên, khi người nói tiếp tục kể về việc mình đeo bông tai nhọn và lo ngại về vận may, người nghe có thể cảm thấy hài hước hơn nữa khi thấy sự khác biệt giữa sự lo lắng của người nói và sự thực tế."
output_4.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa những gì người nói đang nói và những gì họ đang trải nghiệm. Người nói đang chia sẻ về trải nghiệm đi chùa vào mùa Tết, nhưng lại kể về cảnh đông đúc và sự bất tiện khi đi xe. Cuối cùng, người nói nhận ra rằng họ đang nhầm lẫn giữa việc đi chùa và việc đi gửi xe, khiến cho người nghe cảm thấy hài hước."
output_5.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa mong đợi và thực tế. Khi người nói khẳng định mình không thích xài đồ fake, nhưng lại kể lại trải nghiệm của mình về việc mặc áo Gucci giả, điều này tạo ra một cảm giác hài hước. Đặc biệt, khi người nói kể lại cách viết tên Gucci trên áo giả, mà chỉ có một chữ C, điều này càng làm tăng cảm giác hài hước."
output_6.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa tình trạng ế ả và năng lượng của người đang nói. Người đang nói đang đi một mình và ế ả, nhưng lại có năng lượng và hào hứng như một người khác. Điều này tạo ra một sự khác biệt hài hước và khiến người nghe cảm thấy thú vị."
output_7.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự khác biệt giữa giá của áo quần và sự mong đợi của người nghe. Khi người nói khẳng định áo quần rẻ và đẹp, người nghe mong đợi giá rẻ. Tuy nhiên, khi giá 39 ngàn được tiết lộ, người nghe bất ngờ và cảm thấy hài hước. Tình huống này được tăng cường bởi sự khác biệt giữa giá của áo quần và giá của các mặt hàng khác trong cửa hàng."
output_8.json,"Hài hước trong đoạn hội thoại này xuất phát từ tình huống khi người nói không cố ý nhưng lại nói ra một câu chữ trong một tình huống không phù hợp, đặc biệt là khi bà cụ hỏi ""Con, con có ăn đậu phộng, trứng cút gì giúp bà không?"" và người nói trả lời ""Dạ cút"". Tình huống này khiến người nghe cảm thấy hài hước vì sự không đồng nhất giữa ý định ban đầu của người nói và kết quả thực tế."
output_9.json,"Hài hước trong đoạn hội thoại này xuất phát từ tình huống mà người nói kể lại về khi họ còn nhỏ và bị đánh bại bởi một đám đứa lớn hơn. Sự khó khăn và sợ hãi của người nói khi đối mặt với những câu hỏi khó hiểu từ những đứa lớn hơn, kết hợp với giọng nói và cách diễn xuất của người nói, tạo nên một cảnh tượng hài hước và thú vị."
output_10.json,"Hài hước trong đoạn hội thoại này xuất phát từ sự nhầm lẫn về khái niệm ""bóng đè"". Người hỏi đang nhắc đến trạng thái bị bóng đè tâm linh, trong khi người trả lời hiểu là bóng đè giới tính. Sự khác biệt này tạo ra một cảm giác hài hước khi người hỏi và người trả lời không hiểu nhau."
